Nom,Prix_Conclu,Quantité,cluster
"ALBERTVILLE Whiteboard, green",305989.72,320.0,0
AMSTERDAM Lamp,5477.06,155.0,1
ANTWERP Conference Table,305210.4000000001,753.0,0
ATHENS Desk,321453.00000000006,524.0,0
ATHENS Mobile Pedestal,14070.0,56.0,1
"ATLANTA Whiteboard, base",6936.259999999999,8.0,1
"CALGARY Whiteboard, yellow",877.32,1.0,1
Computer - Highline Package,685.2,6.0,1
Computer - TURBO Package,2245.2,12.0,1
CONTOSO Conference System,92025.37455,17.0,1
CONTOSO Storage System,518754.0031599997,555.0,2
Glass Door,856.75,12.0,1
"GRENOBLE Whiteboard, red",308719.17000000004,333.0,0
INNSBRUCK Storage Unit/G.Door,62984.4,224.0,1
INNSBRUCK Storage Unit/W.Door,130059.55999999998,532.4752,1
"LONDON Swivel Chair, blue",0.0,1.0,1
"MEXICO Swivel Chair, black",2447.5,22.0,1
"MOSCOW Swivel Chair, red",369.9,3.0,1
Mounting,0.0,1.0,1
"MUNICH Swivel Chair, yellow",863.0999999999998,10.0,1
OSLO Storage Unit/Shelf,7108.73,63.0,1
"Paint, blue",0.0,1.0,1
"PARIS Guest Chair, black",1376.1,11.0,1
"ROME Guest Chair, green",43028.13999999999,349.0,1
Server - Enterprise Package,425256.4000000001,1240.0,2
Side Panel,12849.94,13.0,1
ST.MORITZ Storage Unit/Drawers,46132.18,136.0,1
